,Folio,Ini_Date,End_Date,Op_Type,Comment,Comment Val,Units,Spot,TP,SL,Close_P,Close_Reason,Status,Margin
1321,Folio,2017-06-04 23:25,2017-06-05 00:25:00+00:00,Sell,STO,94,1000,18.73119,18.717190000000002,18.738190000000003,18.73858,SL,Closed,-0.007389999999997343
1320,Folio,2017-06-04 23:30,2017-06-05 00:25:00+00:00,Sell,STO,90,1000,18.7314,18.7194,18.7374,18.73858,SL,Closed,-0.007179999999998188
1319,Folio,2017-06-04 23:35,2017-06-05 00:40:00+00:00,Sell,STO,93,1000,18.73513,18.721130000000002,18.742130000000003,18.74328,SL,Closed,-0.008149999999996993
1318,Folio,2017-06-04 23:40,2017-06-05 00:35:00+00:00,Sell,STO,85,1000,18.73384,18.72084,18.74034,18.74138,SL,Closed,-0.00753999999999877
1317,Folio,2017-06-04 23:45,2017-06-05 00:35:00+00:00,Sell,STO,93,1000,18.73373,18.72073,18.74023,18.74138,SL,Closed,-0.007649999999998158
1316,Folio,2017-06-04 23:50,2017-06-05 00:35:00+00:00,Sell,STO,85,1000,18.73352,18.71952,18.74052,18.74138,SL,Closed,-0.007860000000000866
1315,Folio,2017-06-04 23:55,2017-06-05 00:25:00+00:00,Sell,STO,85,1000,18.73114,18.71714,18.73814,18.73858,SL,Closed,-0.007439999999999003
1314,Folio,2017-06-05 00:00,2017-06-05 00:35:00+00:00,Sell,STO,94,1000,18.73454,18.72254,18.74054,18.74138,SL,Closed,-0.006840000000000401
1313,Folio,2017-06-05 00:05,2017-06-05 00:40:00+00:00,Sell,STO,93,1000,18.73507,18.72207,18.74157,18.74328,SL,Closed,-0.008209999999998274
1312,Folio,2017-06-05 00:10,2017-06-05 00:40:00+00:00,Sell,STO,90,1000,18.73648,18.72448,18.74248,18.74328,SL,Closed,-0.006799999999998363
1311,Folio,2017-06-05 00:15,2017-06-05 00:35:00+00:00,Sell,STO,91,1000,18.73427,18.722269999999998,18.74027,18.74138,SL,Closed,-0.007110000000000838
1310,Folio,2017-06-05 00:20,2017-06-05 00:40:00+00:00,Sell,STO,88,1000,18.73516,18.72116,18.742160000000002,18.74328,SL,Closed,-0.008119999999998129
1309,Folio,2017-06-05 00:25,2017-06-05 00:45:00+00:00,Sell,STO,91,1000,18.73858,18.72458,18.74558,18.74621,SL,Closed,-0.007630000000002468
1308,Folio,2017-06-05 00:30,2017-06-05 00:45:00+00:00,Sell,STO,85,1000,18.73907,18.72607,18.74557,18.74621,SL,Closed,-0.007139999999999702
1307,Folio,2017-06-05 00:35,2017-06-05 00:55:00+00:00,Sell,STO,89,1000,18.74138,18.728379999999998,18.74788,18.74792,SL,Closed,-0.0065400000000011005
1306,Folio,2017-06-05 00:40,2017-06-05 01:35:00+00:00,Sell,STO,87,1000,18.74328,18.72928,18.75028,18.750870000000006,SL,Closed,-0.007590000000007535
1305,Folio,2017-06-05 00:45,2017-06-05 01:15:00+00:00,Sell,STO,88,1000,18.74621,18.73421,18.75221,18.73358,TP,Closed,0.012630000000001473
1304,Folio,2017-06-05 00:50,2017-06-05 01:15:00+00:00,Sell,STO,93,1000,18.74752,18.73552,18.75352,18.73358,TP,Closed,0.013940000000001618
1303,Folio,2017-06-05 00:55,2017-06-05 01:15:00+00:00,Sell,STO,93,1000,18.74792,18.73392,18.754920000000002,18.73358,TP,Closed,0.014340000000000686
1302,Folio,2017-06-05 01:00,2017-06-05 01:15:00+00:00,Sell,STO,94,1000,18.74594,18.73394,18.75194,18.73358,TP,Closed,0.012360000000001037
1301,Folio,2017-06-05 01:05,2017-06-05 01:35:00+00:00,Sell,STO,89,1000,18.74444,18.73244,18.75044,18.750870000000006,SL,Closed,-0.006430000000005265
1300,Folio,2017-06-05 01:10,2017-06-05 01:35:00+00:00,Sell,STO,87,1000,18.73688,18.723879999999998,18.74338,18.750870000000006,SL,Closed,-0.01399000000000683
1299,Folio,2017-06-05 01:15,2017-06-05 01:30:00+00:00,Sell,STO,90,1000,18.73358,18.71958,18.74058,18.74176,SL,Closed,-0.00817999999999941
1298,Folio,2017-06-05 01:20,2017-06-05 01:35:00+00:00,Sell,STO,89,1000,18.73902,18.72702,18.74502,18.750870000000006,SL,Closed,-0.011850000000006133
1297,Folio,2017-06-05 01:25,2017-06-05 01:35:00+00:00,Sell,STO,85,1000,18.73832,18.72632,18.744320000000002,18.750870000000006,SL,Closed,-0.012550000000004502
1296,Folio,2017-06-05 01:30,2017-06-05 01:35:00+00:00,Sell,STO,85,1000,18.74176,18.728759999999998,18.74826,18.750870000000006,SL,Closed,-0.009110000000006835
1295,Folio,2017-06-05 01:35,2017-06-05 01:50:00+00:00,Sell,STO,86,1000,18.750870000000006,18.736870000000007,18.757870000000008,18.76071,SL,Closed,-0.00983999999999341
1294,Folio,2017-06-05 01:40,2017-06-05 01:50:00+00:00,Sell,STO,85,1000,18.75057,18.73857,18.75657,18.76071,SL,Closed,-0.010139999999999816
1293,Folio,2017-06-05 01:45,2017-06-05 01:50:00+00:00,Sell,STO,86,1000,18.75244,18.73944,18.75894,18.76071,SL,Closed,-0.008269999999999555
1292,Folio,2017-06-05 01:50,2017-06-05 01:55:00+00:00,Sell,STO,94,1000,18.76071,18.747709999999998,18.76721,18.77724,SL,Closed,-0.01652999999999949
1291,Folio,2017-06-05 01:55,2017-06-05 02:00:00+00:00,Sell,STO,88,1000,18.77724,18.764239999999997,18.783739999999998,18.7845,SL,Closed,-0.007260000000002265
1290,Folio,2017-06-05 02:00,2017-06-05 02:20:00+00:00,Sell,STO,89,1000,18.7845,18.7725,18.7905,18.79072,SL,Closed,-0.006219999999999004
1289,Folio,2017-06-05 02:05,2017-06-05 02:25:00+00:00,Sell,STO,88,1000,18.78728,18.77328,18.79428,18.79755,SL,Closed,-0.010270000000002
1288,Folio,2017-06-05 02:10,2017-06-05 02:15:00+00:00,Sell,STO,94,1000,18.78104,18.76904,18.78704,18.78731,SL,Closed,-0.006270000000000664
1287,Folio,2017-06-05 02:15,2017-06-05 02:25:00+00:00,Sell,RSI,69,1000,18.78731,18.77531,18.79331,18.79755,SL,Closed,-0.010239999999999583
1286,Folio,2017-06-05 02:20,2017-06-05 02:30:00+00:00,Sell,STO,87,1000,18.79072,18.77672,18.79772,18.80284,SL,Closed,-0.012119999999999465
1285,Folio,2017-06-05 02:25,2017-06-05 02:35:00+00:00,Sell,RSI,74,1000,18.79755,18.78455,18.80405,18.80831,SL,Closed,-0.01075999999999766
1284,Folio,2017-06-05 02:30,2017-06-05 02:40:00+00:00,Sell,RSI,69,1000,18.80284,18.789839999999998,18.80934,18.81158,SL,Closed,-0.008739999999999526
1283,Folio,2017-06-05 02:35,2017-06-05 02:45:00+00:00,Sell,RSI,68,1000,18.80831,18.79431,18.81531,18.81654,SL,Closed,-0.00823000000000107
1282,Folio,2017-06-05 02:40,2017-06-05 02:50:00+00:00,Sell,STO,89,1000,18.81158,18.798579999999998,18.81808,18.76226,TP,Closed,0.04931999999999803
1281,Folio,2017-06-05 02:45,2017-06-05 02:50:00+00:00,Sell,RSI,75,1000,18.81654,18.80454,18.82254,18.76226,TP,Closed,0.05427999999999855
1280,Folio,2017-06-05 03:10,2017-06-05 03:20:00+00:00,Buy,RSI,29,1000,18.57723,18.590230000000002,18.57073,18.6118,TP,Closed,0.03456999999999866
1279,Folio,2017-06-05 03:15,2017-06-05 03:20:00+00:00,Buy,BBL,0,1000,18.58644,18.59944,18.57994,18.6118,TP,Closed,0.02535999999999916
1278,Folio,2017-06-05 03:25,2017-06-05 03:35:00+00:00,Buy,BBL,0,1000,18.60752,18.61952,18.60152,18.58974,SL,Closed,-0.017780000000001905
1277,Folio,2017-06-05 03:30,2017-06-05 03:35:00+00:00,Buy,BBL,0,1000,18.60292,18.61692,18.59592,18.58974,SL,Closed,-0.013180000000001968
1276,Folio,2017-06-05 03:35,2017-06-05 04:10:00+00:00,Buy,BBL,0,1000,18.58974,18.60274,18.58324,18.58254,SL,Closed,-0.007199999999997431
1275,Folio,2017-06-05 03:40,2017-06-05 05:10:00+00:00,Buy,STO,12,1000,18.58816,18.602159999999998,18.581159999999997,18.57092,SL,Closed,-0.01723999999999748
1274,Folio,2017-06-05 03:45,2017-06-05 04:10:00+00:00,Buy,RSI,34,1000,18.59024,18.603240000000003,18.583740000000002,18.58254,SL,Closed,-0.007699999999999818
1273,Folio,2017-06-05 03:50,2017-06-05 04:00:00+00:00,Buy,BBL,0,1000,18.59664,18.61064,18.58964,18.58604,SL,Closed,-0.010600000000000165
1272,Folio,2017-06-05 04:00,2017-06-05 05:10:00+00:00,Buy,STO,15,1000,18.58604,18.599040000000002,18.57954,18.57092,SL,Closed,-0.015119999999999578
1271,Folio,2017-06-05 04:05,2017-06-05 05:10:00+00:00,Buy,RSI,31,1000,18.58408,18.597080000000002,18.57758,18.57092,SL,Closed,-0.013159999999999172
1270,Folio,2017-06-05 04:10,2017-06-05 05:10:00+00:00,Buy,RSI,34,1000,18.58254,18.59654,18.57554,18.57092,SL,Closed,-0.01162000000000063
1269,Folio,2017-06-05 04:15,2017-06-05 05:10:00+00:00,Buy,BBL,0,1000,18.58138,18.59538,18.574379999999998,18.57092,SL,Closed,-0.01045999999999836
1268,Folio,2017-06-05 04:20,2017-06-05 05:10:00+00:00,Buy,BBL,0,1000,18.58456,18.59756,18.57806,18.57092,SL,Closed,-0.013639999999998764
1267,Folio,2017-06-05 04:25,2017-06-05 05:10:00+00:00,Buy,RSI,32,1000,18.58486,18.59786,18.57836,18.57092,SL,Closed,-0.013939999999998065
1266,Folio,2017-06-05 04:30,2017-06-05 05:10:00+00:00,Buy,BBL,0,1000,18.58476,18.59676,18.57876,18.57092,SL,Closed,-0.013839999999998298
1265,Folio,2017-06-05 04:35,2017-06-05 05:10:00+00:00,Buy,STO,11,1000,18.5848,18.597800000000003,18.578300000000002,18.57092,SL,Closed,-0.013880000000000337
1264,Folio,2017-06-05 04:40,2017-06-05 05:10:00+00:00,Buy,RSI,32,1000,18.5868,18.599800000000002,18.5803,18.57092,SL,Closed,-0.015879999999999228
1263,Folio,2017-06-05 04:45,2017-06-05 05:10:00+00:00,Buy,STO,12,1000,18.58408,18.59808,18.57708,18.57092,SL,Closed,-0.013159999999999172
